"","Cohort","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100","2101","2102","2103","2104","2105","2106","2107","2108","2109","2110","2111","2112","2113","2114","2115","2116","2117","2118","2119","2120","2121","2122","2123","2124","2125","2126","2127","2128","2129","2130","2131","2132","2133","2134","2135","2136","2137","2138","2139","2140","2141","2142","2143","2144","2145","2146","2147","2148","2149","2150"
"54",1958,0,0,0,0,0,0,0,0,0,0,32762591301.6384,32789736029.228,32793811457.2968,32778182360.0863,32737223678.8544,32669210706.8282,32531865881.7143,32360472197.0678,32151108906.7071,31901281101.2763,31605090520.5942,31245564976.2273,30824167114.4078,30328643986.6662,29747638074.5015,29065244478.2978,28227662735.3202,27267041291.1486,26172156281.4305,24934901313.2575,23552231690.7829,22025493702.7357,20375040362.558,18609698698.1369,16756654704.1538,14845434967.5642,12947737715.3268,11068912220.4392,9252334768.21709,7538538627.5085,5965100065.01032,4563895300.73129,3359904698.77912,7027219642.59218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1959,0,0,0,0,0,0,0,0,0,0,0,33657401904.2963,33689986794.5922,33698930290.4899,33688165511.7108,33651363087.956,33546669543.6507,33411059523.1609,33240822230.3378,33031813711.9283,32781763406.8782,32484505508.5666,32122676494.3339,31697880774.2927,31197206650.9694,30609181221.7054,29868224783.9228,29017884822.854,28041458001.1101,26927294279.2763,25666776442.5999,24256502137.5079,22697598901.0081,21010753790.3243,19204309974.1973,17305598887.0929,15379745801.7184,13426334222.9789,11489319508.6411,9613604088.27611,7841354908.24498,6211676284.27833,4758240942.32162,3507419413.65086,7370896363.55797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1960,0,0,0,0,0,0,0,0,0,0,0,0,35107199909.631,35145520331.3449,35159903557.9478,35153624759.9385,35078166825.1578,34974062299.5925,34838025415.5353,34666205928.5389,34454497568.0387,34200384671.1402,33897453939.2898,33527731100.8047,33092555133.5888,32578790921.5315,31921788097.3902,31158804738.339,30282051390.0998,29274144494.4528,28122758419.3827,26818659326.3595,25358087792.058,23741855090.3479,21991367719.4502,20114590225.9202,18180876107.6867,16171420766.0693,14130049390.6183,12102858998.7028,10136838011.8571,8276646177.15932,6563685910.08268,5033728737.87497,3715054924.24508,7764059480.40853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1961,0,0,0,0,0,0,0,0,0,0,0,0,0,36173466367.0055,36217801763.6642,36237365190.9278,36192152770.0381,36119109155.2569,36016802168.4992,35881823982.6504,35710474698.0665,35498511948.5605,35243271993.7307,34938049562.6309,34564549677.3577,34124001507.1712,33547692834.0724,32879786752.6547,32103347155.9365,31210226199.9397,30182472940.7363,29006991289.5311,27674200394.4355,26179952451.8149,24524761976.1341,22730487814.0566,20852073899.8047,18861834540.3356,16790863698.9963,14684048961.1341,12588932004.0515,10554028949.6607,8625933471.48643,6847986651.87601,5257679358.92308,3885151179.81536,8160274248.77869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37152225563.381,37202004700.4747,37181699097.7914,37139417231.4445,37068762716.9842,36968129760.9307,36834661649.7932,36664246394.5388,36452452409.3849,36196511150.6533,35889516174.0982,35512951634.7306,35010356767.6585,34426572785.7686,33749434758.4818,32961453791.7178,32054065694.6786,31008794561.4773,29812125026.8721,28453972338.1335,26929796083.4958,25240027867.2373,23460178423.5911,21535609480.7335,19494047768.2855,17366981396.811,15200167112.4499,13042520660.7525,10944129338.8031,8953179174.39355,7114888321.27474,5468511774.40898,4042472523.97919,8556543689.51828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37986828323.7173,37996941416.4951,37980765886.7642,37942290078.32,37874776146.9482,37777320154.3196,37646720696.8801,37478682101.0809,37268781032.3723,37014045823.0932,36707470628.8463,36270828070.7045,35765548802.6834,35178021521.8231,34495687399.9442,33700761368.2013,32784313672.2241,31727288489.7448,30515751058.1591,29139107195.848,27592585068.4844,25935295616.8688,24122942285.8067,22160708729.7638,20076255557.0778,17901351061.7939,15682459656.0384,13469492826.5856,11314019080.5616,9265724689.53554,7371504159.54721,5668017225.42454,4195227679.96452,8950377624.73993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40197912139.0508,40212560664.8706,40199736576.204,40163213684.9541,40096873429.9062,39999338030.2316,39867065690.6694,39695540026.0085,39480007586.765,39217246419.2373,38836077626.6069,38381864452.1922,37855510560.3205,37242711687.6846,36530179308.7399,35699171096.0828,34739872187.515,33632168228.4208,32361000630.4981,30915099127.8678,29355836074.1601,27608994494.5906,25696578585.0008,23623353715.8397,21417941621.8696,19113646062.5267,16759363839.9288,14407856212.961,12114049122.1313,9931066066.90232,7903074197.52003,6083602714.61644,4508234942.45703,9454753992.7305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41512546774.0185,41531457075.5629,41522126628.3809,41488924598.6837,41425394701.7338,41329979008.1994,41198899450.0035,41027585627.3877,40811068246.5049,40479522641.1003,40092477780.4149,39630837636.3541,39095158694.8438,38470835694.8943,37744195204.2389,36895828542.0416,35915332136.0553,34781890658.3532,33480021405.116,32070593243.6243,30468324238.1891,28671239500.7765,26701868153.6237,24564331679.9104,22287493862.3198,19905471716.0835,17468514732.4297,15030887705.2075,12649624649.0246,10371992710.8862,8262441417.69315,6367207182.61152,4723981557.01099,9970365660.42743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42115897810.0046,42138610489.7751,42133397920.7564,42104344614.298,42044753026.6368,41952989883.5663,41825201313.3979,41656830686.6382,41374972610.5242,41044596335.6821,40658474050.1058,40197289744.5486,39661590394.3422,39036602496.4681,38308342748.0999,37457256631.05,36472655740.1149,35333335262.9171,34100982537.8409,32679985841.8855,31062626593.2638,29246569068.6048,27254599914.4467,25089752903.9148,22780884293.8705,20362198066.0368,17884312620.6294,15402294575.7317,12963958239.8187,10639937162.4311,8484525599.59596,6545517022.90218,4861978676.03569,10440664456.8053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42936506029.4563,42963983493.8292,42963239470.3275,42938518895.3145,42882817192.5098,42794417075.1708,42669435991.7625,42433863954.3704,42152355997.3436,41821968573.2042,41435226360.0736,40972643273.3655,40434806784.8872,39806542274.5186,39073598855.6134,38216040750.9196,37222992334.9116,36155014963.2452,34908727081.3371,33469638787.2608,31829635636.736,29985983597.9841,27961520092.4385,25758667602.2275,23406182972.7694,20938390234.8129,18406505429.9564,15854165935.0252,13357165084.8868,10973723539.3607,8760020093.30137,6765663970.59544,5031490555.97423,10901791601.1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42973451585.0411,43005326056.6716,43009143626.828,42988890831.7439,42937684363.5686,42853897216.2935,42663740460.2431,42432905022.2244,42156700653.0557,41831985651.8843,41451500378.5462,40995727973.6272,40465147006.5974,39844717103.3555,39120238734.4241,38271837150.2864,37373550570.5048,36314589378.7055,35077001898.1966,33646250838.5522,32013592672.5269,30176083837.1078,28156436167.0934,25956068118.471,23603239116.0658,21131859777.1696,18577841875.2249,16016144190.2687,13506438050.3508,11107439175.8146,8876075969.50616,6862874779.09586,5109923214.90981,11293656444.6606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44153677695.6659,44190916145.8284,44199337322.6197,44183187682.9584,44135312641.2454,43982158164.1695,43791895979.5687,43560296788.7707,43282579591.9565,42955604810.0355,42571912306.2613,42111464646.5975,41574885641.5419,40946656066.5121,40212355705.317,39441181428.2009,38528937895.672,37451828296.4997,36191179858.6896,34731556671.8112,33063813689.4912,31184418043.0533,29116453832.1369,26860566873.863,24445031925.4459,21886730834.9734,19258794808.1441,16618979373.4773,14028791660.1173,11549034784.0767,9239035047.81753,7151733056.42366,5331471043.58718,11737272846.6101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45578955474.3195,45620768810.3671,45632885691.0694,45619592529.7118,45499239930.5244,45344737015.3004,45152491650.144,44917958500.1796,44636259503.0915,44304194801.3959,43913973670.601,43445378647.9013,42898578951.2367,42258038538.5659,41603248830.2641,40816152817.1479,39883631232.3634,38781072170.7695,37489102946.339,35991402171.4263,34278200318.1024,32345654262.5168,30217211817.3198,27892763354.775,25380713507.7538,22740118679.4056,20024405093.3834,17292942927.8391,14609619012.3999,12037616287.9747,9638762586.57119,7468519660.93478,5573728644.27618,12232458979.9392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47293257371.8171,47339982440.8192,47356081053.7013,47268419562.741,47147159027.7312,46991084299.3785,46796116969.775,46557793057.5659,46271194558.4197,45932636052.4026,45534221596.0781,45055246219.5671,44495889709.6702,43939992206.0264,43270077182.3618,42463490952.6148,41506219138.8151,40372599907.3409,39042386780.0935,37498380712.1316,35730272215.4774,33733475773.2171,31532178494.9253,29102171296.7256,26499316425.4001,23759954881.6646,20938958666.7677,18097827716.4029,15302968446.5252,12620508061.2425,10115288297.9768,7846033693.81485,5861982836.18687,12903946351.1439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49274768792.7803,49326614556.392,49266228705.8136,49178360379.8397,49056272761.1609,48898069035.3318,48700002753.6421,48457335307.0528,48164615147.2949,47818259028.9961,47410078666.3704,46918993462.8899,46450472353.3195,45880922073.9375,45193157106.2091,44363649097.3772,43377441706.1845,42207776040.5294,40833290705.5548,39235726550.1872,37403924233.7809,35332701070.4889,33020848466.4644,30496006825.0921,27788288144.3774,24934816024.6546,21992421459.7069,19024932505.3863,16101563027.2045,13291840356.7465,10664160993.9317,8280639936.196,6245382272.25454,13669067431.4144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50682243066.4631,50656109969.1259,50597488908.6757,50511045837.4904,50389723539.3302,50231837103.2954,50033509503.7967,49789600341.6835,49494862542.2813,49145461293.6514,48733046647.4356,48346463102.8031,47874385019.6059,47299056572.7617,46602774345.4781,45761409989.9612,44759274014.0168,43568793385.7421,42167644132.2069,40536733592.277,38664084836.5378,36515186873.2496,34147560643.5683,31558612349.9377,28778439696.5711,25844639589.3175,22815147069.3113,19755249135.7325,16736162396.6676,13830010529.9349,11107923328.904,8706895060.67657,6575254506.7632,14465307393.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50705025986.4039,50682034977.7827,50626820709.0651,50543986519.8843,50426591536.4276,50273002247.6413,50079031689.3128,49839961865.1115,49550274947.6197,49206537259.1162,48911714826.112,48532927866.9514,48069204273.3485,47502776332.1271,46815810178.986,45984044234.6655,44991798960.5461,43811111526.013,42419399694.0074,40797256396.1071,38901185400.5602,36759341746.4008,34397209735.5101,31811219778.2018,29030746985.9921,26092709081.615,23054458853.1506,19981092474.5034,16944078392.8194,14016211798.4194,11363437926.3364,8917935044.06369,6743202071.66601,15171081763.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49063188199.6247,49043613226.6433,48992608112.4242,48915161062.4493,48804346097.6209,48658534707.8823,48473878832.2108,48245738727.0284,47969186205.3539,47749588970.8258,47470466163.4925,47109959031.0216,46667931521.6447,46126814377.4115,45469541384.0258,44672299820.8341,43720230101.4452,42585871728.4459,41247020386.9661,39653342235.9404,37826363767.0258,35760490872.3591,33480351743.6996,30981641535.2055,28292136796.3843,25446647573.6214,22500542964.5452,19516694736.5927,16564445208.4575,13828712521.0288,11222912421.4652,8817231249.12466,6674926895.30774,15645766084.0917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47615108147.9935,47598956770.9663,47552183759.9908,47480175330.6308,47375567243.9034,47237252099.2896,47061473329.5269,46843936004.6342,46686050966.3064,46478936126.9797,46214502977.5739,45871297416.4523,45449570329.918,44932304072.1841,44302745490.909,43537616730.8818,42622620166.9276,41530883250.2422,40208523595.7936,38670980620.593,36906449759.4424,34909171090.4081,32702765897.6183,30282138234.8343,27673355310.6282,24909594580.9498,22044344668.6752,19138272067.6995,16394139151.2776,13701217431.0289,11132023910.2552,8756173912.25112,6637001597.38964,15976623941.2703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47390872000.5864,47377843341.3474,47334634617.1316,47266044170.2878,47165359473.4499,47031275011.0348,46860382170.8385,46754671680.6383,46603775366.5402,46404358469.9277,46148470694.1825,45814496680.784,45402972066.6074,44896914733.1482,44279700603.5849,43527975648.9929,42627443020.3918,41518069613.8554,40212577065.8411,38692723870.432,36946210932.7397,34966909198.0652,32778168872.8017,30373813193.461,27779167469.2159,25026465103.0966,22168320345.4667,19425240519.2894,16658468852.8916,13938416867.8401,11338464408.9092,8929778755.6998,6777465373.87983,16331292892.7891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49721574231.3652,49709344113.2424,49665539386.4252,49595524548.3358,49492035655.3974,49354006378.4689,49289862521.3749,49184009067.5181,49030908123.8486,48827340306.4427,48564586132.7477,48220790125.139,47795903347.5633,47272154897.8705,46632131492.5657,45851303391.3814,44878761758.0837,43722994924.6728,42361451305.0086,40774578354.16,38949340972.9292,36878925794.526,34587490611.3465,32067853204.288,29345789639.0351,26454766678.3055,23644713722.6415,20735458294.5807,17796851357.2078,14903959940.7188,12135152392.473,9566861625.13527,7268932291.0165,16952742229.5665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50402332967.4191,50392631288.4259,50351298048.4826,50283413630.3104,50182192444.9842,50160591035.0002,50101767213.8154,50000998868.4124,49852855330.6032,49653924579.1494,49395747077.0681,49055850568.554,48634295198.7514,48113237881.9122,47474913068.8946,46657387617.7171,45683046935.5869,44523407720.2411,43155181035.4054,41558218655.5708,39719110319.2544,37630010681.5788,35315492725.307,32767138163.0383,30010251923.4989,27303238425.3347,24428284474.8766,21446140712.4821,18428086071.8547,15451174584.7597,12596471552.4606,9943436664.72799,7565159699.85288,17629604139.4694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52568715935.2361,52560958832.0437,52520437475.2799,52452829476.2384,52470277878.1859,52453527847.1106,52398516522.335,52300192643.2655,52152920506.0301,51953128447.964,51691705178.3672,51346093755.7452,50915896862.809,50382540615.7002,49687916309.4284,48846573106.8734,47842108373.7805,46644753834.0404,45229722762.7053,43576057711.1929,41668879989.8256,39499781295.354,37094039523.1824,34441755417.8494,31831268715.1129,28986770687.1476,25960018997.2169,22814691164.5681,19625652036.2332,16474170681.0001,13446589695.9282,10627774002.3157,8096397936.29287,18515528963.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56616351602.9626,56609366981.739,56568156697.6654,56626888375.0446,56651157697.4228,56638964527.641,56586119562.0539,56487198998.5587,56336024040.7463,56128440419.7593,55854917635.9119,55491935013.2013,55038089227.4861,54430440913.5269,53692757426.6043,52797814864.2522,51727534129.8272,50449827954.6055,48937990680.2808,47168470295.7995,45124948797.6248,42798446364.5349,40215314035.8489,37675138314.2669,34846642264.2556,31759367041.9371,28468754401.5388,25043211649.4327,21564131831.1788,18120330644.5885,14806352547.4198,11716129868.4373,8936444494.0804,19774316178.9782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
